title,point,date,comment
The Nightmare of Our Snooping Phones,102 points by gmays,2 days ago,18 comments
Can we survive technology? (1955) [pdf],166 points by georgestrakhov,3 days ago,90 comments
“I decided to make a small synthesiser about finance in the year 2020”,70 points by TomWhitwell,2 days ago,14 comments
"First came the ransomware attacks, now come the lawsuits",8 points by hoppyhoppy2,18 hours ago,1 comment
Ask HN: Why Martin Gardner is no longer popular?,15 points by danbst,1 day ago,15 comments
"EV startup Rivian announces $2.5B funding round led by Amazon, Ford",111 points by clouddrover,2 days ago,102 comments
RVVM – RISC-V Virtual Machine,128 points by rvenjoyer,4 days ago,16 comments
We’d rather have the iceberg than the ship,336 points by oftenwrong,3 days ago,317 comments
"Companies are sucking carbon out of the atmosphere, and investors are piling in",9 points by vegetablepotpie,22 hours ago,5 comments
Update to our privacy policy and apology,99 points by pabs3,3 days ago,69 comments
Syncthing: Syncing All the Things,420 points by sohkamyung,3 days ago,166 comments
Debian bullseye release planned on 2021-08-14,47 points by pabs3,2 days ago,15 comments
Sci-Hub Twitter account suspended,373 points by submeta,2 days ago,129 comments
CGuard: Efficient Spatial Safety for C,16 points by belter,2 days ago,2 comments
How to Breathe,41 points by freediver,3 days ago,13 comments
Most Livable Cities,14 points by godelmachine,1 day ago,7 comments
Social media is killing discourse because it’s too much like TV (2016),21 points by Kaibeezy,1 day ago,5 comments
Released from a gag order regarding a federal investigation into a silly comment,189 points by awnird,2 days ago,78 comments
"Dietary supplements causing severe liver injuries in Australians, study shows",9 points by samizdis,20 hours ago,1 comment
Preserving Worlds: a travelogue through aging but beloved virtual worlds,84 points by guerrilla,3 days ago,9 comments
"Algorithmic Botany, Biological Modelling and Visualization Software",79 points by tudorw,3 days ago,3 comments
Ask HN: What do you think the world would be in 6 months – 1 year,42 points by japoneris,2 days ago,32 comments
Twitter employee and grandfater died after getting “swatted”,25 points by aminozuur,1 day ago,2 comments
MS Windows Defender and DeCSS,193 points by ooboe,4 days ago,205 comments
Ethereum dev Virgil Griffith back in jail after checking $1M Coinbase account,76 points by senor_lecce,3 days ago,110 comments
A Chemical Hunger – Part V: Livestock Antibiotics,66 points by morceauxdebois,4 days ago,53 comments
Researchers are pulling movements out of microfilm with digital history,45 points by rbanffy,2 days ago,11 comments
Steven Weinberg has died,165 points by zrkrlc,2 days ago,22 comments
"Don’t Apologize: If the mob comes for you, stand up for yourself",169 points by jseliger,4 days ago,122 comments
Cloud Naming Convention (2019),42 points by etxm,2 days ago,29 comments
Mark Zuckerberg says Facebook will turn into a ‘metaverse’,189 points by Choc13,3 days ago,367 comments
Autonomy founder Mike Lynch can be extradited to US,136 points by pseudolus,3 days ago,202 comments
"Show HN: Wiser – minimal hypervisor boots Linux VM, written in C",136 points by flouthoc_fl,4 days ago,31 comments
The Impedance Mismatch Test: Is Your Data Layer a Complex Mess?,24 points by node-bayarea,3 days ago,21 comments
Healthy Eating Plate vs. USDA’s MyPlate,13 points by ixacto,2 days ago,1 comment
The FTC Votes Unanimously to Enforce Right to Repair,625 points by donohoe,4 days ago,84 comments
Celtic Knotwork (2019),23 points by poletopole,2 days ago,1 comment
Show HN: Cloud Sidecar – Make your apps work in multiple clouds,12 points by thelarry,3 days ago,4 comments
Ask HN: How did you validate your webapp product/market fit?,56 points by ixacto,2 days ago,27 comments
Time lapse doodle: Mark Weiser’s 1991 “Computer for the 21st Century” [video],45 points by DonHopkins,2 days ago,6 comments
Mitchell Hashimoto takes on a new individual contributor role at HashiCorp,353 points by tosh,3 days ago,70 comments
Oracle cloud unit employees told to prepare for 24/7 work,17 points by softbiz,1 day ago,5 comments
Microsoft confirms taskbar in Windows 11 no longer supports drag and drop,91 points by feikname,3 days ago,184 comments
Modern C++ for C Programmers (2018),137 points by sundarurfriend,2 days ago,160 comments
Show HN: Anchorage: a CLI to bulk archive you bookmark collection,10 points by antonlopezr,1 day ago,1 comment
The Hipster PDA (2004),14 points by Tomte,3 days ago,1 comment
Remains of impact that created the Moon may lie deep within Earth,63 points by amacbride,3 days ago,17 comments
Disinformation: It’s History,61 points by how-about-this,3 days ago,51 comments
Local BBC radio not available online outside UK during Tokyo Olympics,25 points by tkgally,9 hours ago,48 comments
Pfeilstorch,140 points by bloat,4 days ago,20 comments
‘Father Ted’ poked fun at Catholic Ireland; a faithful audience appreciated it,38 points by mellosouls,2 days ago,17 comments
Cognitive deficits in people who have recovered from Covid-19,241 points by erentz,2 days ago,245 comments
Feynman vs. the Abacus (1985),54 points by marcodiego,2 days ago,38 comments
